CLIP1,CLIP2,CLIP3,CLIP4,CLIP5,CLIP6,CLIP7,CLIP8,CLIP9,CLIP10,CLIP11,CLIP12,CLIP13,CLIP14,CLIP15,CLIP16,CLIP17,CLIP18,CLIP19,CLIP20,CLIP21,CLIP22,CLIP23,CLIP24,CLIP25,CLIP26,CLIP27,CLIP28,LEN1,LEN2,LEN3,LEN4,LEN5,LEN6,LEN7,LEN8,LEN9,LEN10,LEN11,LEN12,LEN13,LEN14,LEN15,LEN16,LEN17,LEN18,LEN19,LEN20,LEN21,LEN22,LEN23,LEN24,LEN25,LEN26,LEN27,LEN28,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5,SPEC6,SPEC7,SPEC8,SPEC9,SPEC10,SPEC11,SPEC12,SPEC13,SPEC14,SPEC15,SPEC16,SPEC17,SPEC18,SPEC19,SPEC20,SPEC21,SPEC22,SPEC23,SPEC24,SPEC25,SPEC26,SPEC27,SPEC28,PERSONS,DAYTYPE,FISH,FISHERY,RES,SITE,STATE,STATUS,SUCCESS,MONTH,DAY,YEAR,STARTMM,STARTHH,STOPMM,STOPHH
1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,15,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,045,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,2,313,1,1,1,5,14,14,0,15,30,17
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,313,1,1,1,5,14,14,30,16,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,2,313,1,1,0,5,14,14,0,12,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,313,1,1,0,5,14,14,33,16,15,17
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,1,313,1,1,1,5,14,14,0,10,12,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,7,2,313,1,1,0,5,14,14,0,13,13,17
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,313,1,1,1,5,14,14,0,14,15,16
1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19.5,20.2,14.1,15.6,15.2,14.2,14.2,14.9,14,,,,,,,,,,,,,,,,,,,,045,045,049,049,049,049,049,049,046,,,,,,,,,,,,,,,,,,,,3,1,9,1,1,313,1,1,3,5,14,14,30,9,46,16
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,1,313,1,1,1,5,14,14,0,7,15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,313,1,1,0,5,14,14,0,10,20,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,313,1,1,0,5,14,14,0,9,38,14
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16.8,19.4,21.2,21.9,,,,,,,,,,,,,,,,,,,,,,,,,049,048,045,045,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,1,313,1,1,1,5,14,14,0,8,48,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,313,1,1,0,5,15,14,10,7,28,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,313,1,1,0,5,15,14,15,6,8,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,313,1,1,0,5,15,14,0,8,4,12
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,045,049,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,1,2,313,1,1,2,5,15,14,0,10,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,7,1,313,1,1,0,5,17,14,30,15,5,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,0,19,45,20
0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,15.8,14.5,15.1,24.6,,,,,,,,,,,,,,,,,,,,,,,,,049,049,049,045,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,1,1,313,1,1,3,5,17,14,30,6,50,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,7,1,313,1,1,0,5,17,14,30,15,5,20
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,313,1,1,1,5,17,14,0,14,25,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,313,1,1,0,5,17,14,0,14,30,19
0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,1,313,1,1,3,5,17,14,30,6,7,18
1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,28.1,13.3,19.6,14,,18.1,15.5,,,,,,,,,,,,,,,,,,,,,,045,045,045,045,045,049,049,049,049,049,049,049,049,,,,,,,,,,,,,,,,3,2,13,1,2,313,1,1,3,5,17,14,0,9,7,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,0,12,0,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,0,9,2,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,313,1,1,0,5,17,14,0,13,46,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,30,15,0,17
